Sample,2bRAD_sample_id,18s Code,Taxon,Total Length (mm),Inferred Age,Photo,genus,species,Gut contents?,Latitude,Longitude,Region,Current,Cruise,Station,Date,Time,Temp (oC),Fluoro (chl-a),Salinity (psu),Bottom depth (m),Tow depth (m),Tow Length (m),Net Area (m2),Tow Volume (m3),Zoop Biomass (ml),Zpl Density (ml/m3),Moon Phase %,risen or set
S261-018-TT-K58,261-G81,,K. pelamis,5.5452,4.811555556,S261-018-TT-K58,Katsuwonus,pelamis,No,0.667,-167.283,EUC,EUC,S261,S261-018-TT,16-Jul-15,1114,30.4,2.62,34.6,5252,116,2756.989,1,2756.989,14,0.005078004,0,risen
S261-018-TT-K59,261-G82,,K. pelamis,6.4551,6.833555556,S261-018-TT-K59,Katsuwonus,pelamis,No,0.667,-167.283,EUC,EUC,S261,S261-018-TT,16-Jul-15,1114,30.4,2.62,34.6,5252,116,2756.989,1,2756.989,14,0.005078004,0,risen
S261-018-TT-K6,261-G33,,K. pelamis,5.627,4.993333333,S261-018-TT-K6,Katsuwonus,pelamis,No,0.667,-167.283,EUC,EUC,S261,S261-018-TT,16-Jul-15,1114,30.4,2.62,34.6,5252,116,2756.989,1,2756.989,14,0.005078004,0,risen
S261-018-TT-K60,261-G83,,K. pelamis,6.3109,6.513111111,S261-018-TT-K60,Katsuwonus,pelamis,No,0.667,-167.283,EUC,EUC,S261,S261-018-TT,16-Jul-15,1114,30.4,2.62,34.6,5252,116,2756.989,1,2756.989,14,0.005078004,0,risen
S261-018-TT-K61,261-G84,,K. pelamis,4.9931,3.584666667,S261-018-TT-K61,Katsuwonus,pelamis,No,0.667,-167.283,EUC,EUC,S261,S261-018-TT,16-Jul-15,1114,30.4,2.62,34.6,5252,116,2756.989,1,2756.989,14,0.005078004,0,risen
S261-018-TT-K62,261-G85,,K. pelamis,N/A,N/A,S261-018-TT-K62,Katsuwonus,pelamis,No,0.667,-167.283,EUC,EUC,S261,S261-018-TT,16-Jul-15,1114,30.4,2.62,34.6,5252,116,2756.989,1,2756.989,14,0.005078004,0,risen
S261-018-TT-K63,261-G8,,K. pelamis,5.6886,5.130222222,S261-018-TT-K63,Katsuwonus,pelamis,,0.667,-167.283,EUC,EUC,S261,S261-018-TT,16-Jul-15,1114,30.4,2.62,34.6,5252,116,2756.989,1,2756.989,14,0.005078004,0,risen
S261-018-TT-K64,261-G86,,K. pelamis,4.8637,3.297111111,S261-018-TT-K64,Katsuwonus,pelamis,No,0.667,-167.283,EUC,EUC,S261,S261-018-TT,16-Jul-15,1114,30.4,2.62,34.6,5252,116,2756.989,1,2756.989,14,0.005078004,0,risen
S261-018-TT-K65,261-G87,,K. pelamis,5.1529,3.939777778,S261-018-TT-K65,Katsuwonus,pelamis,No,0.667,-167.283,EUC,EUC,S261,S261-018-TT,16-Jul-15,1114,30.4,2.62,34.6,5252,116,2756.989,1,2756.989,14,0.005078004,0,risen
S261-018-TT-K66,261-G88,,K. pelamis,5.2494,4.154222222,S261-018-TT-K66,Katsuwonus,pelamis,No,0.667,-167.283,EUC,EUC,S261,S261-018-TT,16-Jul-15,1114,30.4,2.62,34.6,5252,116,2756.989,1,2756.989,14,0.005078004,0,risen
S261-018-TT-K67,261-G89,,K. pelamis,4.97,3.533333333,S261-018-TT-K67,Katsuwonus,pelamis,No,0.667,-167.283,EUC,EUC,S261,S261-018-TT,16-Jul-15,1114,30.4,2.62,34.6,5252,116,2756.989,1,2756.989,14,0.005078004,0,risen
S261-018-TT-K68,261-G90,,K. pelamis,5.272,4.204444444,S261-018-TT-K68,Katsuwonus,pelamis,No,0.667,-167.283,EUC,EUC,S261,S261-018-TT,16-Jul-15,1114,30.4,2.62,34.6,5252,116,2756.989,1,2756.989,14,0.005078004,0,risen
S261-018-TT-K69,,,K. pelamis,4.9974,3.594222222,S261-018-TT-K69,Katsuwonus,pelamis,No,0.667,-167.283,EUC,EUC,S261,S261-018-TT,16-Jul-15,1114,30.4,2.62,34.6,5252,116,2756.989,1,2756.989,14,0.005078004,0,risen
S261-018-TT-K7,261-G34,,K. pelamis,4.5498,2.599555556,S261-018-TT-K7,Katsuwonus,pelamis,No,0.667,-167.283,EUC,EUC,S261,S261-018-TT,16-Jul-15,1114,30.4,2.62,34.6,5252,116,2756.989,1,2756.989,14,0.005078004,0,risen
S261-018-TT-K70,,,K. pelamis,5.1997,4.043777778,S261-018-TT-K70,Katsuwonus,pelamis,No,0.667,-167.283,EUC,EUC,S261,S261-018-TT,16-Jul-15,1114,30.4,2.62,34.6,5252,116,2756.989,1,2756.989,14,0.005078004,0,risen
S261-018-TT-K71,261-G91,,K. pelamis,5.1282,3.884888889,S261-018-TT-K71,Katsuwonus,pelamis,No,0.667,-167.283,EUC,EUC,S261,S261-018-TT,16-Jul-15,1114,30.4,2.62,34.6,5252,116,2756.989,1,2756.989,14,0.005078004,0,risen
S261-018-TT-K72,261-G92,,K. pelamis,5.2767,4.214888889,S261-018-TT-K72,Katsuwonus,pelamis,No,0.667,-167.283,EUC,EUC,S261,S261-018-TT,16-Jul-15,1114,30.4,2.62,34.6,5252,116,2756.989,1,2756.989,14,0.005078004,0,risen
S261-018-TT-K73,261-G93,,K. pelamis,5.7212,5.202666667,S261-018-TT-K73,Katsuwonus,pelamis,No,0.667,-167.283,EUC,EUC,S261,S261-018-TT,16-Jul-15,1114,30.4,2.62,34.6,5252,116,2756.989,1,2756.989,14,0.005078004,0,risen
S261-018-TT-K74,261-G94,,K. pelamis,5.8084,5.396444444,S261-018-TT-K74,Katsuwonus,pelamis,No,0.667,-167.283,EUC,EUC,S261,S261-018-TT,16-Jul-15,1114,30.4,2.62,34.6,5252,116,2756.989,1,2756.989,14,0.005078004,0,risen
S261-018-TT-K75,261-G95,,K. pelamis,5.0392,3.687111111,S261-018-TT-K75,Katsuwonus,pelamis,No,0.667,-167.283,EUC,EUC,S261,S261-018-TT,16-Jul-15,1114,30.4,2.62,34.6,5252,116,2756.989,1,2756.989,14,0.005078004,0,risen
S261-018-TT-K76,261-G96,,K. pelamis,5.6492,5.042666667,S261-018-TT-K76,Katsuwonus,pelamis,No,0.667,-167.283,EUC,EUC,S261,S261-018-TT,16-Jul-15,1114,30.4,2.62,34.6,5252,116,2756.989,1,2756.989,14,0.005078004,0,risen
S261-018-TT-K77,261-G97,,K. pelamis,5.896,5.591111111,S261-018-TT-K77,Katsuwonus,pelamis,No,0.667,-167.283,EUC,EUC,S261,S261-018-TT,16-Jul-15,1114,30.4,2.62,34.6,5252,116,2756.989,1,2756.989,14,0.005078004,0,risen
S261-018-TT-K78,261-G98,,K. pelamis,5.4873,4.682888889,S261-018-TT-K78,Katsuwonus,pelamis,No,0.667,-167.283,EUC,EUC,S261,S261-018-TT,16-Jul-15,1114,30.4,2.62,34.6,5252,116,2756.989,1,2756.989,14,0.005078004,0,risen
S261-018-TT-K79,261-G99,,K. pelamis,5.6913,5.136222222,S261-018-TT-K79,Katsuwonus,pelamis,No,0.667,-167.283,EUC,EUC,S261,S261-018-TT,16-Jul-15,1114,30.4,2.62,34.6,5252,116,2756.989,1,2756.989,14,0.005078004,0,risen
S261-018-TT-K8,261-G35,,K. pelamis,4.7661,3.080222222,S261-018-TT-K8,Katsuwonus,pelamis,No,0.667,-167.283,EUC,EUC,S261,S261-018-TT,16-Jul-15,1114,30.4,2.62,34.6,5252,116,2756.989,1,2756.989,14,0.005078004,0,risen
S261-018-TT-K80,261-G100,,K. pelamis,5.3021,4.271333333,S261-018-TT-K80,Katsuwonus,pelamis,No,0.667,-167.283,EUC,EUC,S261,S261-018-TT,16-Jul-15,1114,30.4,2.62,34.6,5252,116,2756.989,1,2756.989,14,0.005078004,0,risen
S261-018-TT-K81,261-G101,,K. pelamis,5.7311,5.224666667,S261-018-TT-K81,Katsuwonus,pelamis,No,0.667,-167.283,EUC,EUC,S261,S261-018-TT,16-Jul-15,1114,30.4,2.62,34.6,5252,116,2756.989,1,2756.989,14,0.005078004,0,risen
S261-018-TT-K82,261-G102,,K. pelamis,5.6398,5.021777778,S261-018-TT-K82,Katsuwonus,pelamis,No,0.667,-167.283,EUC,EUC,S261,S261-018-TT,16-Jul-15,1114,30.4,2.62,34.6,5252,116,2756.989,1,2756.989,14,0.005078004,0,risen
S261-018-TT-K83,261-G103,,K. pelamis,5.4026,4.494666667,S261-018-TT-K83,Katsuwonus,pelamis,No,0.667,-167.283,EUC,EUC,S261,S261-018-TT,16-Jul-15,1114,30.4,2.62,34.6,5252,116,2756.989,1,2756.989,14,0.005078004,0,risen
S261-018-TT-K84,261-G104,,K. pelamis,5.2303,4.111777778,S261-018-TT-K84,Katsuwonus,pelamis,No,0.667,-167.283,EUC,EUC,S261,S261-018-TT,16-Jul-15,1114,30.4,2.62,34.6,5252,116,2756.989,1,2756.989,14,0.005078004,0,risen
S261-018-TT-K85,261-G105,,K. pelamis,5.6588,5.064,S261-018-TT-K85,Katsuwonus,pelamis,No,0.667,-167.283,EUC,EUC,S261,S261-018-TT,16-Jul-15,1114,30.4,2.62,34.6,5252,116,2756.989,1,2756.989,14,0.005078004,0,risen
S261-018-TT-K86,261-G106,,K. pelamis,6.3665,6.636666667,S261-018-TT-K86,Katsuwonus,pelamis,No,0.667,-167.283,EUC,EUC,S261,S261-018-TT,16-Jul-15,1114,30.4,2.62,34.6,5252,116,2756.989,1,2756.989,14,0.005078004,0,risen
S261-018-TT-K87,,GC_350,K. pelamis,4.8734,3.318666667,S261-018-TT-K87,Katsuwonus,pelamis,Yes,0.667,-167.283,EUC,EUC,S261,S261-018-TT,16-Jul-15,1114,30.4,2.62,34.6,5252,116,2756.989,1,2756.989,14,0.005078004,0,risen
S261-018-TT-K88,261-G107,,K. pelamis,4.9978,3.595111111,S261-018-TT-K88,Katsuwonus,pelamis,No,0.667,-167.283,EUC,EUC,S261,S261-018-TT,16-Jul-15,1114,30.4,2.62,34.6,5252,116,2756.989,1,2756.989,14,0.005078004,0,risen
S261-018-TT-K89,261-G108,,K. pelamis,4.6409,2.802,S261-018-TT-K89,Katsuwonus,pelamis,No,0.667,-167.283,EUC,EUC,S261,S261-018-TT,16-Jul-15,1114,30.4,2.62,34.6,5252,116,2756.989,1,2756.989,14,0.005078004,0,risen
S261-018-TT-K9,261-G36,,K. pelamis,5.4892,4.687111111,S261-018-TT-K9,Katsuwonus,pelamis,No,0.667,-167.283,EUC,EUC,S261,S261-018-TT,16-Jul-15,1114,30.4,2.62,34.6,5252,116,2756.989,1,2756.989,14,0.005078004,0,risen
S261-018-TT-K90,261-G109,,K. pelamis,6.181,6.224444444,S261-018-TT-K90,Katsuwonus,pelamis,No,0.667,-167.283,EUC,EUC,S261,S261-018-TT,16-Jul-15,1114,30.4,2.62,34.6,5252,116,2756.989,1,2756.989,14,0.005078004,0,risen
